Clock frequency is approx. 2295.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	7547.5	5701.9	3801.6	2720.9	2233.5	1857.5	1645.5	1442.8	1338.6	1218.0	1130.2	1051.7	995.2	943.4	915.5	889.6	862.6	829.5	807.6	816.3	817.7	817.4	814.6	820.1	820.6	825.0	817.6	821.7	835.4	827.9	816.9	718.4	850.1	838.4	849.7	856.9	844.8	865.0	854.8	859.7	864.4	865.2	879.1	899.6	900.0	897.5	911.6	767.8	915.3	952.1	953.7	953.8	989.9	968.3	970.9	1024.8	1019.6	1031.5	1011.8	1049.7	1075.3	983.0	1102.8	645.1	
16m	7606.9	5697.9	3792.2	2717.3	2226.9	1898.7	1647.9	1453.2	1339.3	1220.0	1138.5	1060.3	997.8	948.9	916.6	893.1	861.0	830.6	815.7	796.9	784.1	770.3	765.1	757.0	746.1	739.2	716.7	1069.1	1129.3	1151.5	1177.2	782.8	1206.5	1217.9	1243.5	1267.3	1292.4	1351.2	1359.2	1359.3	1401.4	1368.1	1425.7	1340.4	1490.0	1575.5	1491.1	1015.4	1476.1	1514.1	1525.2	1678.9	1551.4	1646.8	1647.9	1614.4	1693.0	1644.5	1882.0	917.0	940.6	935.6	1013.9	634.0	
8m	7644.2	5745.6	3815.0	2741.6	2233.6	1892.4	1650.8	1460.6	1355.0	1238.5	1149.3	1066.2	974.3	938.0	931.9	915.1	891.0	1534.0	1533.7	1610.5	1654.3	1699.4	1673.3	1474.1	872.5	880.4	933.0	962.6	989.4	1046.7	1085.1	723.4	1210.7	1288.8	1379.1	1478.8	1561.1	1666.7	1708.5	1845.7	1904.1	2029.1	2101.3	2529.4	2064.9	2349.0	2305.6	901.9	2322.5	2531.3	2679.5	2877.1	3107.7	2711.1	3021.9	2740.4	2809.5	2998.2	3006.3	3070.3	3173.0	3236.4	3372.7	659.6	
4m	7622.8	6516.7	4671.4	3759.9	3067.4	2652.5	2370.5	2211.5	2165.1	2147.5	2169.2	2161.0	2248.7	2325.0	2484.8	1931.2	2439.8	2453.3	2649.4	2673.4	2409.2	2579.5	3311.0	2971.3	3080.8	3107.8	3465.3	3444.1	3669.4	3331.9	3423.3	1748.6	2653.3	3401.8	3461.9	3464.4	3401.6	3495.8	3232.2	2755.9	3501.9	3660.4	3577.3	3745.3	3475.5	3551.7	3354.3	3114.2	2760.0	3838.5	3583.0	3832.6	3840.4	3843.2	3875.3	3740.1	3789.0	3894.6	3399.9	3864.2	3382.2	3803.6	3836.4	1574.5	
2m	7666.0	7430.2	7198.9	6939.6	5963.6	4938.5	4363.0	3938.1	3891.4	3848.1	3784.2	3656.7	3713.0	3684.2	3678.8	3588.3	3582.0	3643.8	3666.9	3657.3	3650.8	3550.1	3544.6	3667.7	3589.0	3493.7	3631.3	3562.1	3684.0	3582.3	3728.4	3377.4	3788.5	3642.3	3780.8	3579.6	3642.0	3781.5	3755.8	3779.6	3763.6	3806.6	3781.0	3683.5	3774.6	3683.7	3452.3	3763.2	3687.7	3788.3	3776.3	3826.7	3793.1	3767.3	3849.5	3697.1	3794.7	3763.2	3830.4	3628.2	3752.4	3843.4	3881.6	3323.3	
1024k	7715.4	7706.2	7657.2	7564.9	6532.4	5387.6	4711.1	4240.7	4175.3	4126.5	4082.8	4045.7	4019.9	4008.6	3966.5	3920.9	3926.5	3931.6	3919.4	3916.9	3889.8	3888.9	3877.2	3875.5	3894.8	3869.9	3870.7	3878.5	3886.2	3880.8	3909.4	3847.0	3974.8	3957.9	4059.1	4177.5	4107.8	4297.9	4227.8	4386.0	4348.8	4462.1	4487.6	4524.6	4677.8	4634.2	4808.2	3878.0	4874.6	5027.1	5028.4	5049.9	5308.7	5338.4	5378.6	5528.4	5639.1	5680.4	5752.8	5717.5	5895.0	6180.5	6315.9	3821.0	
512k	7714.3	7711.4	7667.6	7584.1	6583.5	5397.3	4722.4	4245.0	4186.0	4149.8	4127.9	4125.9	4085.9	4085.1	4101.7	3961.9	4122.7	4215.7	4275.6	4357.7	4398.1	4466.6	4662.3	4864.2	4898.2	5012.2	5252.2	5499.4	5508.5	5807.7	5799.2	3890.1	6069.8	6309.4	6690.8	6727.6	6479.1	7066.4	6939.3	6956.8	7351.4	7631.6	7160.0	6991.9	7589.4	7326.8	7614.9	5695.6	7400.5	7576.7	7478.0	7629.0	7565.0	7561.1	7593.3	7613.8	7615.4	7629.6	7618.1	7602.0	7502.3	7604.6	7624.5	3872.5	
256k	7711.7	7705.7	7671.9	7601.7	6920.0	5965.3	5288.7	4862.9	5127.5	5291.3	5557.7	5807.4	6041.4	6395.7	6503.7	4747.1	6928.3	7201.6	7394.9	7205.1	7625.5	7585.4	7625.8	7561.5	7619.9	7541.9	7615.4	7611.1	7638.0	7584.8	7577.9	4637.6	7583.0	7633.7	7608.5	7588.7	7597.2	7556.7	7587.3	7565.1	7559.1	7574.5	7542.1	7625.0	7582.9	7519.9	7551.3	7568.4	7577.9	7495.7	7586.2	7522.3	7527.4	7583.5	7554.0	7554.9	7582.6	7548.3	7481.2	7460.6	7516.6	7569.0	7501.7	4791.3	
128k	7711.7	7706.9	7701.3	7684.1	7675.7	7684.7	7653.2	7650.5	7634.3	7632.9	7596.0	7616.7	7591.4	7597.7	7559.0	7550.6	7545.8	7568.0	7563.9	7553.7	7574.5	7540.9	7572.2	7568.4	7538.0	7556.7	7491.7	7491.7	7499.1	7494.1	7551.3	7448.9	7582.1	7568.4	7577.3	7567.0	7583.1	7574.7	7552.7	7602.2	7577.4	7521.6	7529.9	7527.1	7551.6	7541.6	7536.6	7458.9	7520.8	7556.9	7552.2	7520.8	7527.4	7506.8	7522.8	7532.1	7526.8	7524.7	7529.2	7503.6	7480.7	7464.2	7447.3	7367.2	
64k	7705.7	7697.4	7685.9	7678.6	7632.9	7644.6	7589.6	7559.7	7557.8	7538.6	7516.0	7554.7	7527.2	7507.4	7427.4	7367.2	7587.8	7567.0	7574.7	7564.0	7521.6	7568.8	7541.6	7512.6	7509.8	7520.8	7506.8	7532.1	7492.1	7470.0	7498.8	7132.4	7419.7	7483.2	7458.9	7445.6	7444.2	7409.5	7457.8	7444.1	7364.4	7397.3	7410.3	7380.8	7442.3	7344.1	7423.0	7423.5	7376.1	7387.0	7409.9	7320.9	7348.9	7326.0	7308.6	7296.7	7284.6	7217.6	7278.6	7328.0	7336.0	7351.1	7189.3	6932.5	
